Offspring_ID Parent_ID
1011 1001
1012 1002
1013 1003
1014 1004
1015 1001
1016 1002
1017 1003
1018 1003
1019 1005
1020 1002
1021 1003
1022 1002
1023 1005
1024 1001
1025 1002
1026 1006
1027 1002
1028 1001
1029 1006
1030 1006
1031 1006
1032 1006
1033 1005
1034 1003
1035 1003
1036 1001
1037 1001
1038 1003
1039 1003
1040 1003
1041 1007
1042 1008
1043 1009
1044 1010
1045 1009
1046 1003
1047 1003
1048 1003
1049 1003
1050 1003
1051 1003
1052 1003
1053 1003
1054 1003
1055 1003
1056 1061
1057 1062
1058 1063
1059 1064
1060 1065
